0,,,,,,,,,
850,10.63,23.8,130.3,,330.3,200.0,1.65,65.1,265.1
900,11.25,24.0,130.5,,330.5,200.0,1.65,65.2,265.2
950,11.88,24.0,129.5,,329.5,200.0,1.65,64.8,264.8
1000,12.50,24.5,131.3,,331.3,200.0,1.66,65.7,265.7
1050,13.13,24.5,130.4,,330.4,200.0,1.65,65.2,265.2
1100,13.75,24.7,130.5,,330.5,200.0,1.65,65.2,265.2
1150,14.38,24.2,126.9,,326.9,200.0,1.63,63.5,263.5
1200,15.00,24.1,125.5,,325.5,200.0,1.63,62.7,262.7
0,,,,,,,,,
50,,,,,,,,,
100,1.25,21.5,128.6,6,428.6,300.0,1.43,64.3,364.3
150,1.88,25.0,148.6,14,448.6,300.0,1.50,74.3,374.3
200,2.50,26.6,157.1,17,457.1,300.0,1.52,78.6,378.6
250,3.13,28.2,165.5,27,465.5,300.0,1.55,82.8,382.8
300,3.75,29.0,169.1,31,469.1,300.0,1.56,84.6,384.6
350,4.38,30.0,173.8,36,473.8,300.0,1.58,86.9,386.9
400,5.00,31.0,178.4,43,478.4,300.0,1.59,89.2,389.2
450,5.63,31.6,180.7,51,480.7,300.0,1.60,90.3,390.3
500,6.25,32.5,184.6,58,484.6,300.0,1.62,92.3,392.3
550,6.88,33.0,186.2,66,486.2,300.0,1.62,93.1,393.1
600,7.50,33.2,186.1,74,486.1,300.0,1.62,93.0,393.0
650,8.13,34.0,189.2,81,489.2,300.0,1.63,94.6,394.6
700,8.75,34.2,189.1,89,489.1,300.0,1.63,94.5,394.5
750,9.38,34.5,189.4,99,489.4,300.0,1.63,94.7,394.7
800,10.00,34.7,189.2,104,489.2,300.0,1.63,94.6,394.6
850,10.63,35.0,189.5,112,489.5,300.0,1.63,94.8,394.8
900,11.25,35.2,189.3,118,489.3,300.0,1.63,94.6,394.6
950,11.88,35.2,187.9,124,487.9,300.0,1.63,94.0,394.0
1000,12.50,35.5,188.2,129,488.2,300.0,1.63,94.1,394.1
1050,13.13,35.7,187.9,135,487.9,300.0,1.63,93.9,393.9
1100,13.75,35.8,187.1,140,487.1,300.0,1.62,93.5,393.5
1150,14.38,35.9,186.2,145,486.2,300.0,1.62,93.1,393.1
1200,15.00,36.0,185.4,147,485.4,300.0,1.62,92.7,392.7
0,,,,,,,,,
50,0.64,2.2,13.8,3,110.8,97.0,1.14,6.9,103.9
100,1.27,7.0,43.8,5,138.8,95.0,1.46,21.9,116.9
150,1.91,9.5,59.0,4,155.0,96.0,1.61,29.5,125.5
200,2.54,11.0,67.9,6,161.9,94.0,1.72,34.0,128.0
250,3.18,12.0,73.6,13,160.6,87.0,1.85,36.8,123.8
300,3.81,12.8,78.0,19,159.0,81.0,1.96,39.0,120.0
350,4.45,13.0,78.7,24,154.7,76.0,2.04,39.3,115.3
400,5.09,13.3,80.0,28,152.0,72.0,2.11,40.0,112.0
450,5.72,13.8,82.4,32,150.4,68.0,2.21,41.2,109.2
500,6.36,14.7,87.2,38,149.2,62.0,2.41,43.6,105.6
550,6.99,14.7,86.6,42,144.6,58.0,2.49,43.3,101.3
600,7.63,14.7,86.0,44,142.0,56.0,2.54,43.0,99.0
650,8.26,14.4,83.7,48,135.7,52.0,2.61,41.8,93.8
700,8.90,14.0,80.8,50,130.8,50.0,2.62,40.4,90.4
750,9.53,14.0,80.2,52,128.2,48.0,2.67,40.1,88.1
800,10.17,14.0,79.7,56,123.7,44.0,2.81,39.8,83.8
850,10.81,13.8,78.0,55,123.0,45.0,2.73,39.0,84.0
900,,,,,,,,,
950,,,,,,,,,
1000,,,,,,,,,
1050,,,,,,,,,
1100,,,,,,,,,
1150,,,,,,,,,
1200,,,,,,,,,
0,,,,,,,,,
50,0.64,0.1,0.6,2,198.6,198.0,1.00,0.3,198.3
100,1.29,1.8,11.6,2,209.6,198.0,1.06,5.8,203.8
150,1.93,3.2,20.4,3,217.4,197.0,1.10,10.2,207.2
200,2.58,14.7,93.2,7,286.2,193.0,1.48,46.6,239.6
250,3.22,17.2,108.3,13,295.3,187.0,1.58,54.2,241.2
300,3.87,19.0,118.9,18,300.9,182.0,1.65,59.4,241.4
350,4.51,20.4,126.8,23,303.8,177.0,1.72,63.4,240.4
400,5.15,21.2,130.9,28,302.9,172.0,1.76,65.4,237.4
450,5.80,21.7,133.0,33,300.0,167.0,1.80,66.5,233.5
500,6.44,22.4,136.4,39,297.4,161.0,1.85,68.2,229.2
550,7.09,22.7,137.3,43,294.3,157.0,1.87,68.6,225.6
600,7.73,23.0,138.1,50,288.1,150.0,1.92,69.1,219.1
