1-1,不固结不排水剪UU,12.5,12.2,,,1.74,,
100,166,,3.91,8,7.35
200,169.4,,3.91,8,7.35
0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21.2,21.7,22.4,22.7,23,23.5,23.6,23.7,23.8,24,24,24.5,24.5,24.7,24.2,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175.46,178.47,183.06,184.33,185.57,188.38,187.95,187.51,187.06,187.39,186.14,188.74,187.46,187.71,182.65,180.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,375.46,378.47,383.06,384.33,385.57,388.38,387.95,387.51,387.06,387.39,386.14,388.74,387.46,387.71,382.65,380.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.88,1.89,1.92,1.92,1.93,1.94,1.94,1.94,1.94,1.94,1.93,1.94,1.94,1.94,1.91,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,87.73,89.23,91.53,92.16,92.78,94.19,93.97,93.76,93.53,93.69,93.07,94.37,93.73,93.85,91.33,90.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,100
,287.73,289.23,291.53,292.16,292.78,294.19,293.97,293.76,293.53,293.69,293.07,294.37,293.73,293.85,291.33,290.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
