28,8-2,4.1,,,,,,,23.2,2.72,19.7,31.6,17.6,,4,40,7.6,,,,126
29,8-3,5.3,33.0,43.7,5.7,2.9,14.7,,,,,,,,,,,,,,
30,8-4R,6.6,27.2,50.1,11.5,4.2,7,,,,,,,,,,,,,,
31,9-1,1.6,,,,,,,22.1,2.72,19.6,32.7,17.7,,1,36.5,22,1,.12,14.1,
32,9-2,3.7,,,,,,,25.5,2.72,19.8,33,19,,1,41.7,11.7,1,.24,6.9,
33,9-3,5.7,,,,,,,23,2.72,20,32,18.2,,1,19.7,23.2,1,.12,14.1,
34,10-1,1.6,,,,,,,21,2.71,20.5,30,17,,1,54.9,14.5,1,.18,8.9,
35,10-2,3.7,,,,,,,22.5,2.72,20.1,32.6,18.8,,1,25.6,26,1,.2,7.9,
36,10-3,5.8,1.4,28.3,26.4,15.8,28.1,,,,,,,,,,,,,,
37,11-1,2.0,,,,,,,22.7,2.7,20,29.9,19.5,,1,43.5,23.1,,,,
38,11-2,4.5,,,,,,,22.2,2.71,19.7,30.7,19,,1,25.4,18.6,1,.22,7.8,
39,11-3R,6.4,29.2,42.8,14.4,5.3,8.3,,,,,,,,,,,,,,
40,12-1,1.9,,,,,,,18.5,2.71,19.3,28.7,16.4,,,,,1,.09,18.2,
41,12-2,3.8,,,,,,,20.5,2.72,19.6,32.7,17.3,,4,94,15.7,,,,
42,12-3,5.2,,,,,,,21.4,2.7,20.4,26.4,16,,4,31,9.7,,,,
43,13-1,1.7,,,,,,,22.1,2.71,19.6,30.7,17.4,,1,26.9,22,1,.11,15.6,
44,13-2,3.3,,,,,,,26.5,2.73,19.3,37.1,19.1,,1,32.6,15.4,1,.22,8.2,
45,13-3,5.3,,,,,,,21.3,2.71,20.4,28.2,15.6,,4,20,11.8,,,,
46,13-4R,6.3,27.0,52.6,9.6,5.5,5.3,,,,,,,,,,,,,,
47,14-1,1.6,,,,,,,21.3,2.7,19.7,30.1,18.7,,1,40.1,25.3,1,.09,18.9,
48,14-2,3.4,,,,,,,26.5,2.74,19.4,40.1,20.2,,1,58.1,12.5,,,,
49,14-3,4.3,,,,,,,22.3,2.71,20.2,30.9,18.8,,4,57,8.2,,,,101
50,14-4,5.6,,,,,,,23.7,2.71,19.7,28.2,15.9,,1,18.1,29.6,,,,
51,15-1,1.2,,,,,,,17.8,2.72,19.5,34.7,20.1,,1,38.2,27,1,.11,14.8,
52,15-2,3.1,,,,,,,24.9,2.74,19.7,38,18.2,,1,30.5,18.5,1,.11,15.6,
53,15-3,5.0,,,,,,,22,2.71,20.1,28.6,16.2,,1,43.7,11.9,1,.19,8.5,
54,15-4R,11.2,16.8,50.5,14.9,4,13.8,,,,,,,,,,,,,,
55,16-1,2.2,,,,,,,23.5,2.71,20,27.8,15.7,,1,21.4,26.3,,,,
56,16-2,4.2,,,,,,,23.1,2.72,19.5,31.1,16.8,,1,48,9.3,1,.23,7.69,
57,16-3,5.6,14,47.7,6.7,3.1,28.5,,,,,,,,,,,,,,
58,17-1,2.2,,,,,,,22.7,2.7,19.6,29.1,19,,1,29.4,20.9,1,.1,17,
59,17-2,4.3,,,,,,,23.4,2.72,19.8,32.6,18.1,,4,39,12.7,,,,
60,17-3,5.6,,,,,,,21.8,2.71,20.3,29.4,16.3,,1,9.3,28.6,1,.14,11.3,
61,18-1,1.4,,,,,,,21.1,2.71,19.6,30.7,17.4,,1,50.8,23.6,1,.11,14.9,
62,18-2,3.6,,,,,,,24.9,2.73,19.5,37.3,20.4,,1,60.1,11.8,1,.15,11.5,
63,18-3,5.4,,,,,,,23.3,2.71,20,26.3,14.8,,1,17.1,27.6,,,,
64,18-4R,7.6,34.3,44.8,9.5,5.3,6.1,,,,,,,,,,,,,,
65,18-5,8.4,17.3,35.1,12.2,7.7,27.7,,,,,,,,,,,,,,
66,18-6R,9.3,20.5,47.7,22.8,5.9,3.1,,,,,,,,,,,,,,
67,19-1,1.5,,,,,,,21.8,2.71,19.2,32.4,19,,1,45.5,20.7,1,.15,11.5,
68,19-2,3.2,,,,,,,25.9,2.73,19.4,37.6,20,,1,42.3,13,1,.14,12.8,
69,19-3,4.7,,,,,,,21.2,2.71,20.2,29.9,16.9,,1,41.6,10.5,1,.21,7.8,
70,19-4R,6.3,25.9,43.6,11.6,4.1,14.8,,,,,,,,,,,,,,
71,19-5R,10.8,15,47.1,13.6,8,16.3,,,,,,,,,,,,,,
72,20-1,1.7,,,,,,,21.5,2.71,20.1,33.1,20.1,,1,60.1,22.4,1,.12,14.5,
73,20-2,3.6,,,,,,,25.9,2.74,19.4,40.8,21,,1,46.2,12.5,1,.14,12.4,
74,20-4,4.6,,,,,,,24.1,2.72,19.4,32.9,19.3,,1,41,13,1,.23,7.63,
75,20-5,5.7,,,,,,,22.4,2.7,19.9,27.7,16.8,,1,16.1,22.2,,,,
76,20-6R,7.6,24.8,53.1,11.5,4.2,6.4,,,,,,,,,,,,,,
77,20-8,13,,,,,,,18.4,2.72,20.4,37,23.5,,,,,,,,
